userid,username,email,status,role,tokenusage,createdat,rotatedat
10241,TIMOTHYROBINSON_5,timothy.robinson241@company.com,ACTIVE,S3ReadOnly,1204,2025-04-15,2026-05-25
10242,TIMOTHYYOUNG,timothy.young242@company.com,ACTIVE,S3ReadOnly,1778,2025-10-11,2026-05-18
10243,williambaker.32,william.baker243@company.com,ACTIVE,ReadOnlyAccess,698,2025-05-18,2026-05-15
10244,williamcarter-9,william.carter244@company.com,ACTIVE,ReadOnlyAccess,821,2025-12-11,2026-05-21
10245,willia.mharris,william.harris245@company.com,ACTIVE,ReadOnlyAccess,44,2025-11-05,2026-05-12
10246,willi.amhill,william.hill246@company.com,ACTIVE,S3ReadOnly,1759,2025-06-01,2026-06-02
10247,WILLIAMLEWIS,william.lewis247@company.com,ACTIVE,S3ReadOnly,1944,2025-03-29,2026-05-22
10248,WILLIAMPEREZ,william.perez248@company.com,ACTIVE,ReadOnlyAccess,350,2025-09-29,2026-06-03
10249,williamthomas.70,william.thomas249@company.com,ACTIVE,S3ReadOnly,518,2025-08-06,2026-05-20
10250,williamwilliams-6,william.williams250@company.com,ACTIVE,ReadOnlyAccess,1548,2025-11-25,2026-05-20
